pmid,title,year,journal,pub_types,language,abstract
30865684,Socioeconomic determinants affecting the access and utilization of depression  care services in immigrants: A population-based study.,2019,PLoS One,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: It is imperative to address the health problems faced by immigrants  in their destination countries in light of the current magnitude of migration processes worldwide. We aimed to evaluate the socioeconomic determinants of healthcare utilization in immigrants with depression. METHOD: A population-based cohort comprising all immigrants who were eligible for National Health Insurance coverage (permanent residents, marriage immigrants, and naturalized citizens) using the National Health Insurance Claims Database in 2011-2013 was established. Cases were defined as immigrants with new-onset depression. Controls were new-onset Korean patients with depression matched by age, sex, and Charlson comorbidity index in a 1:2 ratio. Appropriateness of care (AOC) was defined as visiting a clinic for depression management at least 3 times in the first 12 weeks and 4 times thereafter until 12 months post-cohort entry. RESULTS: A total of 2,378 immigrants and 4,756 matched Korean patients were identified. Of the immigrants, 30.0% achieved AOC, in contrast to 38.7% of Koreans (p < .0001). Adjusting for possible covariates, AOC was less likely for immigrants (adjusted OR (aOR), 0.760; 95% CI: 0.670-0.863). Medical Aid (aOR, 2.309; 95% CI, 1.479-3.610), rural residence (aOR, 1.536; 95% CI, 1.054-2.237), the presence of a psychiatric comorbidity (aOR, 1.912; 95% CI, 1.484-2.463), and visiting a psychiatrist (aOR, 2.387; 95% CI, 1.821-3.125) were associated with an increased likelihood of AOC in immigrants. CONCLUSION: Socioeconomic determinants included insurance type (Medical Aid and National Health Insurance), place of residence, psychiatric comorbid status, doctor specialty, easy access to medical services (clinic-based), and a SSRI-based treatment regimen. Those predictors should be taken into account when developing healthcare strategies for immigrants."
25938710,Mexican-origin parents' work conditions and adolescents' adjustment.,2015,J Fam Psychol,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"Mexican-origin parents' work experiences are a distal extrafamilial context for  adolescents' adjustment. This 2-wave multiinformant study examined the prospective mechanisms linking parents' work conditions (i.e., self-direction, work pressure, workplace discrimination) to adolescents' adjustment (i.e., educational expectations, depressive symptoms, risky behavior) across the transition to high school drawing on work socialization and spillover models. We examined the indirect effects of parental work conditions on adolescent adjustment through parents' psychological functioning (i.e., depressive symptoms, role overload) and aspects of the parent-adolescent relationship (i.e., parental solicitation, parent-adolescent conflict), as well as moderation by adolescent gender. Participants were 246 predominantly immigrant, Mexican-origin, 2-parent families who participated in home interviews when adolescents were approximately 13 and 15 years of age. Results supported the positive impact of fathers' occupational self-direction on all 3 aspects of adolescents' adjustment through decreased father-adolescent conflict, after controlling for family socioeconomic status and earner status, and underemployment. Parental work pressure and discrimination were indirectly linked to adolescents' adjustment, with different mechanisms emerging for mothers and fathers. Adolescents' gender moderated the associations between fathers' self-direction and girls' depressive symptoms, and fathers' experiences of discrimination and boys' risk behavior. Results suggest that Mexican-origin mothers' and fathers' perceptions of work conditions have important implications for multiple domains of adolescents' adjustment across the transition to high school."
20478063,Comparison of the consumption of antidepressants in the immigrant and native  populations in a Spanish health region: an observational study.,2010,BMC Public Health,Comparative Study; Journal Article,eng,"BACKGROUND: Health professionals and organizations in developed countries adapt  slowly to the increase of ethnically diverse populations attending health care centres. Several studies report that attention to immigrant mental health comes up with barriers in access, diagnosis and therapeutics, threatening equity. This study analyzes differences in exposure to antidepressant drugs between the immigrant and the native population of a Spanish health region. METHODS: Cross-sectional study of the dispensation of antidepressant drugs to the population aged 15 years or older attending the public primary health centres of a health region, 232,717 autochthonous and 33,361 immigrants, during 2008. Data were obtained from computerized medical records and pharmaceutical records of medications dispensed in pharmacies. Age, sex, country of origin, visits, date of entry in the regional health system, generic drugs and active ingredients were considered. Statistical analysis expressed the percentage of persons exposed to antidepressants stratified by age, gender, and country of origin and prevalence ratios of antidepressant exposition were calculated. RESULTS: Antidepressants were dispensed to 11% of native population and 2.6% of immigrants. Depending on age, native women were prescribed antidepressants between 1.9 and 2.7 times more than immigrant women, and native men 2.5 and 3.1 times more than their immigrant counterparts. Among immigrant females, the highest rate was found in the Latin Americans (6.6%) and the lowest in the sub-Saharans (1.4%). Among males, the highest use was also found in the Latin Americans (1.6%) and the lowest in the sub-Saharans (0.7%). The percentage of immigrants prescribed antidepressants increased significantly in relation to the number of years registered with the local health system. Significant differences were found for the new antidepressants, prescribed 8% more in the native population than in immigrants, both in men and in women. CONCLUSIONS: All the immigrants, regardless of the country of origin, had lower antidepressant consumption than the native population of the same age and sex. Latin American women presented the highest levels of consumption, and the sub-Saharan men the lowest. The prescription profiles also differed, since immigrants consumed more generics and fewer recently commercialized active ingredients."
19636729,Mother-adolescent language proficiency and adolescent academic and emotional  adjustment among Chinese American families.,2009,J Youth Adolesc,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"This study examined the role of adolescents' and mothers' self-reports of English  and heritage language proficiency in youth's academic and emotional adjustment among 444 Chinese American families. Adolescents who were proficient in English tended to exhibit higher reading achievement scores, math achievement scores, and overall GPA. Mothers who were English proficient tended to have children with higher academic achievement and fewer depressive symptoms. Results also indicated that adolescents' heritage language maintenance was associated with positive adjustment, particularly amongst foreign-born youth and for youth whose parents were highly proficient in the heritage language. Mother-adolescent match in heritage language proficiency was related to higher math achievement scores and overall GPA. Additionally, higher heritage language proficiency was associated with fewer depressive symptoms for foreign-born but not U.S.-born youth. Overall, the findings suggest that proficiency in both the English and heritage language may confer advantages to Chinese American youth."
35086535,"Effectiveness of psychosocial school interventions in Finnish schools for refugee  and immigrant children, ""Refugees Well School"" in Finland (RWS-FI): a protocol for a cluster randomized controlled trial.",2022,Trials,Clinical Trial Protocol; Journal Article,eng,"BACKGROUND: Schools are natural environments in which to enhance young people's  social and emotional skills, mental health, and contact between diverse groups, including students from refugee and immigrant backgrounds. A layered or tiered provision of services is recommended as it can be effective to meet the needs of war-affected adolescents who variably show mental health problems (such as posttraumatic stress disorder (PTSD)). The current protocol describes the study design for a multi-layered intervention model. The study will test the effectiveness of two interventions: a teacher-training intervention In-Service Teacher Training (INSETT) combined with targeted cognitive-behavioral treatment-based Teaching Recovery Techniques (TRT) and a classroom-focused preventive intervention Peer Integration and Enhancement Resources (PIER). We analyze, first, whether the interventions are effective in decreasing psychological distress and increasing positive resources, i.e., prosocial behavior and resilience among refugee and immigrant students. Second, we analyze which student-, school-, and parent-related factors mediate the possible beneficial changes. Third, we look at which groups the interventions are most beneficial to. METHODS: A three-arm cluster RCT with parallel assignment, with a 1:1:1 allocation ratio, is applied in 16 schools that agreed to participate in the Refugees Well School interventions and effectiveness study. Schools were randomized to three conditions of two active interventions and a waiting list control condition. Students, their parents, and teachers in intervention and control schools participated in the study at baseline before the interventions, after the interventions, and at 6 to 12 months after the interventions. The primary effectiveness criterion variables are psychological distress (SDQ) symptoms, resilience (CYRM-12), and prosocial behavior (SDQ). DISCUSSION: The current study presents a recommended universal approach of layered interventions aiming to reduce psychological distress and increase resilience among refugee and immigrant students. A combination of promotive, preventive, and targeted interventions may offer a holistic, ecological intervention package for schools to better address the needs of the whole group. TRIAL REGISTRATION: ISRCTN ISRCTN64245549 . Retrospectively registered on 10 June 2020."
37670269,Experiences of peripartum depressive symptoms among Chinese middle-class migrant  women in the Netherlands: a qualitative study of migrant motherhood.,2023,BMC Pregnancy Childbirth,Journal Article,eng,"BACKGROUND: A low educational level and poor economic status have repeatedly been  identified as the main risk factors of peripartum depression among migrant women in existing studies. However, there is limited knowledge about a group of highly educated and middle-class migrant women, and how this group of migrant women deals with those risks and which protective factors facilitate a successful transition into motherhood in the host country. This study aims to shed light on the multifaceted psychosocial challenges during the peripartum period for Chinese migrant women in their relationships with intimate partners, mothers, and mothers-in-law. METHODS: In this qualitative study, semi-structured in-depth interviews were conducted digitally with 46 pregnant and postpartum middle-class Chinese migrant women with peripartum depressive symptoms in the Netherlands. The interview data were analyzed using content analysis. RESULTS: The multifaceted psychosocial challenges for women with peripartum depressive symptoms were classified into three key categories: the ambivalence towards different mothering values, perceived inadequate and mismatching social support and adverse childhood experiences. CONCLUSION: Well-educated middle-class Chinese migrant women with peripartum depressive symptoms faced challenges in the transition into motherhood due to the unmet self-expectations regarding the pursuit of a good quality of life and a happy motherhood. The nurturing intimate relationships and adequate social support in the host country have mitigated recollections of their adverse childhood experiences. Future prevention programs and postpartum care should consider the contextual specificity based on the childhood history. International mental health research should pay more attention to the growing and potentially vulnerable group of well-educated middle-class migrant women."
38183040,"The use of youth healthcare services and its association with health-related  quality of life, physical and mental health and over-the-counter analgesics use in 13-19-year-old adolescents: a cross-sectional study.",2024,BMC Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Youth healthcare services in Norway include a public health nurse  (PHN) at school and local youth health centres (YHCs). They provide health services for all adolescents free of charge, focusing on health promotion and disease prevention. The present study aimed to assess possible associations between health-related quality of life (HRQoL), physical and mental health, over-the-counter analgesics (OTCA) use and use of youth healthcare services among 13-19-year-old adolescents. METHODS: This study was based on national, cross-sectional data from the Ungdata Survey conducted in 2022. The sample was comprised of 16 482 adolescents. Multiple logistic regression was used to analyse the associations between HRQoL, headaches, selected physical symptoms, psychological distress, use of OTCA, PHN availability, sociodemographic variables, and use of the PHN at school or at a YHC. The KIDSCREEN-10 was used to measure HRQoL, and the Hopkins Symptoms Checklist 10 was used to measure symptoms of psychological distress. RESULTS: Girls used the youth healthcare services more frequently than boys. Better HRQoL was significantly associated with fewer visits to the PHN at school. Girls reported lower HRQoL and mental health, and more pain and frequent OTCA use than boys. When having symptoms of psychological distress, boys had greater odds of visiting the PHN at school than girls. For girls in senior high school, headaches and OTCA use were strongly associated with visiting the PHN at school and the YHC. In senior high school, boys with an immigration background had greater odds of visiting the YHC than native Norwegian boys, while girls with an immigration background were less likely to visit the YHC than native Norwegian girls. CONCLUSIONS: Our results show that more girls than boys use youth healthcare services. When adolescents experience pain, have mental problems, use OTCA, or report low levels of HRQoL, they have greater odds of using youth healthcare services. Youth healthcare services offer excellent opportunities to support and follow up with adolescents. The findings provide important insights into youth healthcare services used by adolescents for various stakeholders, including PHNs and policy makers, with potential implications for future public health efforts."
36817932,"""We are the sun for our community:"" Partnering with community health  workers/promotores to adapt, deliver and evaluate a home-based collaborative care model to improve equity in access to quality depression care for older U.S. Latino adults who are underserved.",2023,Front Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: While depression is a leading cause of poor health, less than half of  older adults receive adequate care. Inequities in both access and outcomes are even more pronounced for socially disadvantaged older adults. The collaborative care model (CCM) has potential to reduce this burden through community-based organizations (CBOs) who serve these populations. However, CCM has been understudied in diverse cultural and resource-constrained contexts. We evaluated the implementation and effectiveness of PEARLS, a home-based CCM adapted with and for community health workers/promotores (CHWs/Ps). METHODS: We used an instrumental case study design. Our case definition is a community-academic partnership to build CHW/P capacity for evidence-based depression care for older U.S. Latino adults in the Inland Empire region of California (2017-2020). We aimed to understand adaptations to fit local context; acceptability, feasibility, and fidelity; clinical effectiveness; and contextual determinants of implementation success or failure. Data sources included quantitative and qualitative administrative and evaluation data from participants and providers. We used descriptive statistics and paired t-tests to characterize care delivery and evaluate effectiveness post-intervention, and deductive thematic analysis to answer other aims. FINDINGS: This case study included 152 PEARLS participants and nine data sources (N = 67 documents). The CBO including their CHWs/Ps partnered with the external implementation team made adaptations to PEARLS content, context, and implementation strategies to support CHWs/Ps and older adults. PEARLS was acceptable, feasible and delivered with fidelity. Participants showed significant reductions in depression severity at 5 months (98% clinical response rate [mean (SD), 13.7 (3.9) drop in pre/post PHQ-9; p < 0.001] and received support for 2.6 social needs on average. PEARLS delivery was facilitated by its relative advantage, adaptability, and trialability; the team's collective efficacy, buy-in, alignment with organization mission, and ongoing reflection and evaluation during implementation. Delivery was challenged by weak partnerships with clinics for participant referral, engagement, reimbursement, and sustainability post-grant funding. DISCUSSION: This case study used existing data to learn how home-based CCM was adapted by and for CHWs/Ps to reduce health inequities in late-life depression and depression care among older Latino immigrants. The CBOs and CHWs/Ps strong trust and rapport, addressing social and health needs alongside depression care, and regular internal and external coaching and consultation, appeared to drive successful implementation and effectiveness."
36170329,Assessing the psychosocial work environment of migrant and non-migrant workers in  inpatient mental health centres: A feasibility study.,2022,PLoS One,"Journal Article; Research Support, Non-U.S. Gov't",eng,"The number of migrant workers in Germany has increased over the last decades and  will probably further increase in the context of a growing cultural diversity of the population and shortage of skilled professionals. Since migrant workers face different challenges, they may experience poorer psychosocial work environments than non-migrants. A negative psychosocial work environment can increase burnout and depression symptoms. To this date no study has investigated differences in the perceived psychosocial work environment in the mental health field. The aim of this study is to evaluate the feasibility of a cross sectional study comparing the perceived psychosocial work environment of migrants and non-migrant workers in inpatient mental health centres in Germany. The study was conducted in four inpatient mental health centres in Germany using the Copenhagen Psychosocial Questionnaire. All staff members (N = 659) categorized in seven professional groups were invited to participate in the study. The feasibility of the study was determined by four criteria (1) Implementation of the study in inpatient mental health centres (2) Representativity of the sample (3) Reliability and usability of the questionnaire and (4) Variability of collected data. Three of four feasibility criteria were achieved. The study was successfully implemented in four mental health centres, the usability of the used questionnaire was confirmed as well as the variability of the data. The targeted response rate was partially met, and the total number of migrant workers could not be provided, which limits the representativity of the sample. In conclusion, a main study is feasible, but an effort must be put in an effective recruitment strategy to obtain valid results."
41174618,Changes in health after a work-related intervention among highly educated  migrants in Norway: a pilot study.,2025,BMC Public Health,Journal Article,eng,"BACKGROUND: Highly educated individuals migrating to a new host country without  work accreditation face various stressors that impact their health. Among them is the long waiting time for their integration as a resourceful workforce. In this study, we piloted a work-related intervention aimed at improving the health of highly educated migrants. We hypothesize that by including migrants in meaningful working-related activities, their self-rated health (SRH) and other health outcomes will improve. METHODS: This is a non-randomized intervention pilot study examining the changes in participants' health using an explanatory sequential design for evaluation. Baseline data was collected in Bergen for the intervention group and Kristiansand for the control group in 2023, with follow-up data collected after six months. The intervention consisted of working as assistant teachers at various health education programs at university level in Bergen for six months. Both groups answered a questionnaire that included SRH measured by a single validated item and other health measures. We calculated prevalence proportions and ratios, and differences in means using generalized estimating equations with 95% confidence intervals (CI), to estimate the changes in health outcomes adjusting for baseline confounders. Semi-structured interviews were conducted with the intervention group (N = 15) to gain deeper understanding of changes in health or other effects of the intervention. RESULTS: Fifteen participants in the intervention and 62 in the control group completed both questionnaires. We found no changes between the groups in SRH, but significant improvements in general mental health measured with the crude General Health Questionnaire-12 (GHQ-12) -0.07 (-0.11;-0.03) and improved well-being measured with the adjusted World Health Organization-5 Well-Being Index (WHO-5) 0.09 (0.01;0.17) in the intervention group. Qualitative data indicated a positive intervention experience, explained by renewed self-confidence, family pride, improved stress management, empowerment and increased physical activity. CONCLUSION: Our pilot study suggested positive health changes from a work-related intervention in terms of improved general mental health and well-being. Quantitative and qualitative data were complementary. For confirmation of effects, this pilot study should be upscaled with a randomized trial design."
31701867,Prevalence of Depressive Symptoms and Associated Factors among Internal Migrants  with Tuberculosis: A Cross-Sectional Study in China.,2020,Am J Trop Med Hyg,"Journal Article; Research Support, U.S. Gov't, P.H.S.",eng,"There are hundreds of millions of internal migrants in China, and tuberculosis  (TB) is an important health threat to them. However, the mental health problems of internal migrants with TB in China have been ignored. The present study aimed to determine the prevalence of depressive symptoms and its associated risk factors among internal migrants with TB in China. A cross-sectional survey was conducted between June 2018 and March 2019 in Shenzhen, southern China. Data were collected from 1,057 internal migrants with TB using a structured questionnaire. Depressive symptoms were measured using the Center for Epidemiologic Studies Depression Scale. Multinomial logistic regression analysis was used to identify risk factors for depressive symptoms. Of the 1,057 participants included in this study, 53.8% had depressive symptoms. Of these, 38.9% had mild, whereas 14.9% had moderate-to-severe depressive symptoms. Multinomial logistic regression analysis suggested that higher likelihoods of depressive symptoms were associated with female gender, lower education, family dysfunction, poor doctor-patient communication, and TB-related stigma. This study shows that the prevalence of depressive symptoms among internal migrants with TB is high in China. Targeting interventions and treatment of depressive symptoms among internal migrants with TB are needed."
22624779,Postpartum depression in special populations: a review.,2012,Obstet Gynecol Surv,Journal Article; Review,eng,"This review article aims to define and characterize postpartum depression; to  discuss the social, financial, regulatory and legal implications of the disorder; and to elucidate its impact on special groups, namely adolescents, immigrants, fathers, and those of different racial and ethnic groups. A MEDLINE review of the current literature was run on postpartum depression, using the key words postpartum depression, depression, pregnancy, peripartum, or postpartum, from the years 2000 to 2011. Postpartum depressive syndromes place women and their children at risk of suicide and infanticide if not appropriately diagnosed and treated. Screening should occur within 4 to 6 weeks postpartum. Women with a history of depression before or during pregnancy, adolescents, those with low incomes and poor social support, or with a history of substance abuse, are especially at high risk. Treatments include antidepressants and psychotherapy. The unique populations of adolescents, fathers, immigrants, and certain racial and ethnic groups require special consideration in terms of diagnosis, screening modalities, and treatment. Collaboration between obstetrical providers and behavioral health professionals can ensure improved outcomes. It was found that postpartum depression is a challenging diagnosis and may be difficult to treat. A multidisciplinary approach is warranted to prevent life-threatening consequences in mothers and their children. TARGET AUDIENCE: Obstetricians & Gynecologists, Family Physicians LEARNING OBJECTIVES: After participating in this activity, physicians should be better able to diagnose postpartum depression and to analyze the social, financial, regulatory and legal implications of the disorder; and to evaluate its impact on special groups, namely adolescents, immigrants, fathers, and those of different racial and ethnic groups."
36815159,"Mental, neurological and substance use disorders among the Latino migrant  population in the United States who visited the Health Windows and Mobile Health Units in 2021.",2023,Front Public Health,Journal Article,eng,"BACKGROUND: Mental health is defined by the World Health Organization as a state  of wellbeing in which people are aware of their own abilities to cope with the normal stresses of life, work productively and fruitfully, and contribute to their community. Among the minority groups that may be vulnerable to experiencing greater risks for their physical and mental health and full development is the migrant population. The mobile population's migration experience, from their place of origin to destination translates into psychosocial problems and clearly stressful conditions which could be resolved using certain coping strategies. Accordingly, numerous epidemiological studies have found differences in the prevalence of mental health problems between migrants and native-born residents of destination countries, as well as between migrants and their non-migrant co-nationals. PURPOSE: To describe sociodemographic characteristics of the Latino migrant population in the United States who visited the Health Windows (HW) and Mobile Health Units (MHU) in 2021, who may have been at risk for mental, neurological or substance use disorders and agreed to a screening for signs and symptoms of mental health conditions. METHOD: Users of the HW and MHU were offered preventive health services and completed a mental health screening. These variables were registered in SICRESAL. If their results showed signs and symptoms of mental health conditions, they were screened by credentialed professionals from the Psychology Faculty of the National Autonomous University of Mexico. Screened individuals received a diagnosis and specialized care remotely and/or online with the MHU and HW network partners. To analyze sociodemographic variables corresponding to neurological or substance induced mental illness among the Latino migrant population in the United States who visited the Ventanillas de Salud (VDS)/Health Windows (HW), and Unidades Móviles de Salud (UMS)/Mobile Health Units (MHU), during 2021; contingency tables were created showing percentages and chi square with a significant p < 0.05. FINDINGS: During 2021 HW and MHU completed a total of 794 mental health screenings of which 84% were completed at HW. Further, 59% were women with an average age of 43, ranging from 7 to 86 years of age. Twenty percent 20% of the population who voluntarily agreed to screening yielded a positive result for some type of mental health symptom or problem. This percentage (37%) was greater among those who consulted MHU. With respect to age, results showed that youth were at greatest risk for mental health problems. Among the screened population, the independent variables, type of Health Window attended, gender, age group, and place of origin are related to the existence of some type of mental health symptom or problem yielding a significance level of <0.05 for depression and anxiety symptoms. DISCUSSION AND PROSPECTS: In this study, as in others, the migrant population that visited the HW and UMS in 2021 reported a greater risk of mental health problems, with symptoms related to depression and anxiety among the socio-demographic variables of gender, age group, and place of origin. Thus, these symptoms relate to being a female aged between 18 and 38 and originating from Mexico. Finally, the possibility of screening the migrant population for signs and symptoms of mental health conditions that attended the Health Windows or Mobile Health Units during 2021, made it possible to refer them to psychology or psychiatry services and improve the quality of life of those who accessed the services and, consequently, that of their families and communities. LIMITATIONS: The main limitation is associated with the information source since we worked with secondary data and relied on the information provided by those who attended both the HW and the MHU."
23023679,"Obstructive sleep apnea, posttraumatic stress disorder, and health in immigrants.",2012,Psychosom Med,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"OBJECTIVE: To determine whether obstructive sleep apnea mediates the relationship  between posttraumatic stress disorder (PTSD) and psychosomatic and somatic disorders and its implications for self-rated health (SRH) among Iraqi immigrants in the United States. METHODS: A random sample of immigrants who had left Iraq before the 1991 Gulf War (n = 145) or after (n = 205) and are residing in metropolitan Detroit responded to a structured interview covering questions on sociodemographics, premigration trauma, SRH, physician-diagnosed and -treated obstructive sleep apnea, somatic disorders, and psychosomatic disorders. Structural equation modeling was used to evaluate the relationship between premigration trauma scores and health, as well as to explore mediating pathways between PTSD, obstructive sleep apnea, and health. RESULTS: The prevalence of obstructive sleep apnea among post-Gulf Warimmigrants (30.2%) was significantly higher than among pre-Gulf War immigrants (0.7%; p < .001). Premigration trauma scores were positively associated with depression and PTSD. Structural equation modeling supported a model in which obstructive sleep apnea mediated the relationship between PTSD and psychosomatic and somatic disorders. Premigration trauma also related directly to SRH. CONCLUSIONS: Part of the PTSD-associated adverse health effects observed in Iraqi immigrants is mediated by obstructive sleep apnea. Because sleep apnea in the current study is based on medical history and current treatment, there is a need for future confirmatory polysomnographic studies."
34215288,Effect on breastfeeding practices of providing in-home lactation support to  vulnerable women through the Canada Prenatal Nutrition Program: protocol for a pre/post intervention study.,2021,Int Breastfeed J,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Only one-third of Canadian infants are exclusively breastfed for the  first 6 months of life as recommended. Skilled lactation support in the early postpartum period is one strategy for improving breastfeeding outcomes by building breastfeeding self-efficacy and resolving difficulties. Access to such support is limited among vulnerable women, including those who are new immigrants, low income, under-educated, young or single. The Canada Prenatal Nutrition Program (CPNP) aims to improve birth and breastfeeding outcomes among vulnerable women, but currently lacks a formal framework for providing postpartum lactation support. METHODS: This pre/post intervention study will examine the effect on breastfeeding outcomes of an evidence-based in-home lactation support intervention provided through the CPNP. We will enrol 210 pregnant women who intend to breastfeed and are registered CPNP clients at two sites in Toronto, Canada. During the intervention phase, postpartum home visits by International Board Certified Lactation Consultants (IBCLCs) will be pro-actively offered to registered clients of the two sites. Double-electric breast pumps will also be provided to those who meet specific criteria. Infant feeding data will be collected prospectively at seven time points from 2 weeks to 6 months postpartum. Descriptive and regression analyses will be conducted to measure intervention effects. The primary outcome is exclusive breastfeeding at 4 months postpartum. Secondary outcomes include the duration of any and exclusive breastfeeding, timing of introduction of breastmilk substitutes and timing of introduction of solid foods. Breastfeeding self-efficacy will be assessed prenatally and at 2 weeks and 2 months postpartum. Other measures include maternal socio-demographics, infant feeding intentions, maternal depression and anxiety, and household food insecurity. Monitoring data will be used to assess the reach, uptake and fidelity of intervention delivery. DISCUSSION: Increasing access to skilled lactation support through the CPNP may be an effective means of improving breastfeeding practices among vulnerable women and thereby enhancing health and development outcomes for their infants. This pre/post intervention study will contribute evidence on both the effectiveness and feasibility of this approach, in order to guide the development and further testing of appropriate models of integrating lactation support into the CPNP. TRIAL REGISTRATION: ClinicalTrials.gov ( NCT03589963 ) registered July 18, 2018."
24118896,"Depression prevalence and primary care among vulnerable patients at a free  outpatient clinic in Paris, France, in 2010: results of a cross-sectional survey.",2013,BMC Fam Pract,Journal Article; Observational Study,eng,"BACKGROUND: Data on the prevalence of depression and on how a depressive episode  prompts the sufferer to seek primary care are not scarce, but the available evidence on the prevalence of depression among immigrants and poor people who frequent general practice facilities is scarce. The Baudelaire Outpatient Clinic at the Saint-Antoine Hospital in Paris provides free medical and social assistance to the poor and/or uninsured. The goal of our study was to estimate the prevalence of depression among these outpatients, to characterize this depressed population, and to analyze its demand for primary care for depressive episodes. METHODS: From September to December 2010, we conducted a cross-sectional, observational survey among users of the Baudelaire Outpatient Clinic. French-speaking patients attending the clinic between September 15 and December 30, 2010 who agreed to answer a questionnaire administered face-to-face before their consultation were included in the study. The chi-squared test (or Fisher's exact test for small samples) was used for the comparisons of proportions. Logistic regression models were estimated, along with the odds ratios (OR) and their 95% confidence intervals (95% CIs), for the multivariate analysis of factors associated with depression and healthcare-seeking. Models were estimated separately for men and women, since sex was an interaction factor. The statistical analyses were performed using Stata v. 10 software (StataCorp LP, College Station, Texas, USA). RESULTS: Of the 250 patients included (mean age: 45 years), 52.0% were men and 52.4% were immigrants. Close to 40% of them reported having no supplemental health insurance. The estimated prevalence of depression in this population was 56.7%. Depression was more prevalent among the women, immigrants, and people from the poorer socioeconomic groups. Only half of these depressed patients, mostly women, reported having discussed their depression with a physician. French nationality and complete health insurance coverage were associated with more-frequent healthcare-seeking. Few patients reported having been asked about their morale by the physician they consulted, and almost 80% would have liked to be asked about this more often. CONCLUSION: Depression is a real public health problem, particularly among people from disadvantaged backgrounds, and should be included in their overall management."
24121307,"Internet-based, culturally sensitive, problem-solving therapy for Turkish  migrants with depression: randomized controlled trial.",2013,J Med Internet Res,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Turkish migrants living in the Netherlands have a high prevalence of  depressive disorders, but experience considerable obstacles to accessing professional help. Providing easily accessible Internet treatments may help to overcome these barriers. OBJECTIVE: The aim of this study was to evaluate the effectiveness of a culturally sensitive, guided, self-help, problem-solving intervention through the Internet for reducing depressive symptoms in Turkish migrants. METHODS: A two-armed randomized controlled trial was conducted. The primary outcome measure was the severity of depressive symptoms; secondary outcome measures were somatic symptoms, anxiety, quality of life, and satisfaction with the treatment. Participants were assessed online at baseline, posttest (6 weeks after baseline), and 4 months after baseline. Posttest results were analyzed on the intention-to-treat sample. Missing values were estimated by means of multiple imputation. Differences in clinical outcome between groups were analyzed with a t test. Cohen's d was used to determine the between-groups effect size at posttreatment and follow-up. RESULTS: Turkish adults (N=96) with depressive symptoms were randomized to the experimental group (n=49) or to a waitlist control group (n=47). High attrition rates were found among the 96 participants of which 42% (40/96) did not complete the posttest (6 weeks) and 62% (59/96) participants did not complete the follow-up assessment at 4 months. No significant difference between the experimental group and the control group was found for depression at posttest. Recovery occurred significantly more often in the experimental group (33%, 16/49) than in the control group (9%, 4/47) at posttest (P=.02). Because of the high attrition rate, a completers-only analysis was conducted at follow-up. The experimental group showed significant improvement in depression compared to the control group both at posttest (P=.01) and follow-up (P=.01). CONCLUSIONS: The results of this study did not show a significant effect on the reduction of depressive symptoms. However, the effect size at posttest was high, which might be an indicator of the possible effectiveness of the intervention when assessed in a larger sample and robust trial. Future research should replicate our study with adequately powered samples. TRIAL REGISTRATION: Dutch Trial Register: NTR2303. http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=2303 (Archived by WebCite at http://www.webcitation.org/6IOxNgoDu)."
30586450,"Do good, stay well. Well-being and work satisfaction among German refugee  helpers: A national cross-sectional study.",2018,PLoS One,Journal Article,eng,"BACKGROUND: Since 2015, more than 3 million refugees have reached the European  Union. In order to receive and integrate them, societies heavily rely on relief organizations and private initiatives. Yet the well-being, work-satisfaction and possible health implications for refugee helpers have not been adequately addressed. METHODS: In a German national cross-sectional study, we gathered socio-demographic data on refugee helpers. Work satisfaction was examined by means of Neuberger and Allerbeck's Work Description Inventory. We screened for depression by using the 5-item WHO Well-Being Index (WHO-5), and for post-traumatic stress disorder (PTSD) using the PTSD Short Screening Scale (PTSD-7). 1712 questionnaires were analyzed. RESULTS: Females accounted for 73.4% (1235), the mean age was 52.0 years (SD: 14.4). 61.6% were academics (1042). 87.0% (1454) were voluntary helpers who invested 9.4 hours (SD: 8.9) per week. Refugee helpers were more satisfied with the content than with the conditions or the organization of their work. Their work satisfaction and overall life satisfaction reached higher values than in representative samples. The mean WHO-5 index for refugee helpers was 68.2 points (SD: 19.0). Positive depression screening was found in 17.3% (226). 982 (57.4%) had experienced a traumatic event in their past or witnessed it during their work in refugee aid. 33 (2.8%) of the helpers had a positive PTSD screening. CONCLUSIONS: Refugee helpers deliver invaluable services to migrants and receiving communities. Our data indicates above average well-being as well as work-satisfaction. Psychological traumatization is found frequently but fortunately PTSD is rare. All efforts should be made to uphold helpers' keen spirit and contributions. They should be screened regularly with regards to work satisfaction, well-being and mental health. As part of a comprehensive health promotion strategy they should be instructed about depression, psychological trauma, PTSD and ways to find help."
